Ciudad,Día,T. max. (°C) (Hora),T. min. (°C) (Hora),T. media (°C),Racha (km/h) (Hora),V. max. (km/h) (Hora),Pr. 00 - 24h (mm),Pr. 00 - 06h (mm),Pr. 06 - 12h (mm),Pr. 12 - 18h (mm),Pr. 18 - 24h (mm)
Ibiza,2025-12-31,14.7,5.0,9.8,30.0,21.0,0.1,0.0,0.1,0.0,0.0
Ibiza,2026-01-01,15.1,5.1,10.1,30.0,19.0,0.0,0.0,0.0,0.0,0.0
Ibiza,2026-01-02,15.0,11.8,13.4,33.0,25.0,0.0,0.0,0.0,0.0,0.0
Lanzarote,2025-12-26,20.9,13.3,17.1,42.0,30.0,0.6,0.0,0.6,0.0,0.0
Lanzarote,2025-12-27,22.8,14.4,18.6,59.0,40.0,0.7,0.0,0.0,0.3,0.4
Lanzarote,2025-12-28,21.5,15.5,18.5,42.0,24.0,0.7,0.7,0.0,0.0,0.0
Lanzarote,2025-12-29,21.1,13.3,17.2,26.0,14.0,0.0,0.0,0.0,0.0,0.0
Lanzarote,2025-12-30,20.9,12.5,16.7,35.0,17.0,0.0,0.0,0.0,0.0,0.0
Lanzarote,2025-12-31,21.6,12.95,17.25,35.0,14.0,0.0,0.0,0.0,0.0,0.0
Lanzarote,2026-01-01,22.3,13.4,17.8,42.0,34.0,0.0,0.0,0.0,0.0,0.0
Lanzarote,2026-01-02,23.2,18.0,20.6,67.0,50.0,1.71,0.0,0.0,0.0,0.0
Madrid,2025-12-26,11.5,-1.2,5.1,17.0,9.0,0.0,0.0,0.0,0.0,0.0
Madrid,2025-12-27,11.1,-0.7,5.2,22.0,15.0,0.1,0.0,0.0,0.0,0.1
Madrid,2025-12-28,12.1,6.5,9.3,28.0,15.0,0.0,0.0,0.0,0.0,0.0
Madrid,2025-12-29,12.8,2.4,7.6,17.0,10.0,0.0,0.0,0.0,0.0,0.0
Madrid,2025-12-30,10.6,-1.4,4.6,18.0,12.0,0.0,0.0,0.0,0.0,0.0
Madrid,2025-12-31,10.0,-2.5,3.8,18.0,10.0,0.0,0.0,0.0,0.0,0.0
Madrid,2026-01-01,4.9,-2.7,1.1,18.0,12.0,0.0,0.0,0.0,0.0,0.0
Madrid,2026-01-02,9.8,4.1,7.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0
Mallorca,2025-12-26,14.0,8.7,11.3,21.0,15.0,10.0,2.6,1.8,5.4,0.2
Mallorca,2025-12-27,13.5,8.3,10.9,28.0,17.0,10.5,0.1,0.1,8.7,1.6
Mallorca,2025-12-28,16.9,6.8,11.8,28.0,22.0,0.1,0.0,0.1,0.0,0.0
Mallorca,2025-12-29,16.1,5.7,10.9,24.0,14.0,1.0,0.0,0.1,0.9,0.0
Mallorca,2025-12-30,15.8,2.9,9.4,30.0,17.0,0.0,0.0,0.0,0.0,0.0
Mallorca,2025-12-31,13.6,2.8,8.2,35.0,25.0,0.0,0.0,0.0,0.0,0.0
Mallorca,2026-01-01,14.1,0.7,7.4,18.0,12.0,0.0,0.0,0.0,0.0,0.0
Mallorca,2026-01-02,16.1,3.8,10.0,32.0,26.0,0.0,0.0,0.0,0.0,0.0
Málaga,2025-12-26,16.5,6.0,11.3,28.0,18.0,0.0,0.0,0.0,0.0,0.0
Málaga,2025-12-27,14.4,4.4,9.4,84.0,56.0,5.4,0.0,0.0,0.4,5.0
Málaga,2025-12-28,14.8,7.9,11.4,50.0,35.0,14.7,10.0,4.7,0.0,0.0
Málaga,2025-12-29,17.4,7.0,12.2,28.0,21.0,0.2,0.0,0.0,0.2,0.0
Málaga,2025-12-30,18.4,6.3,12.3,26.0,19.0,0.0,0.0,0.0,0.0,0.0
Málaga,2025-12-31,17.2,5.4,11.3,28.0,22.0,0.0,0.0,0.0,0.0,0.0
Málaga,2026-01-01,14.9,11.1,13.0,32.0,19.0,3.7,0.6,3.1,0.0,0.0
Málaga,2026-01-02,15.4,9.7,12.6,21.0,14.0,0.0,0.0,0.0,0.0,0.0
Tenerife,2025-12-26,15.7,9.2,12.4,42.0,35.0,0.1,0.0,0.0,0.0,0.1
Tenerife,2025-12-27,16.6,10.6,13.6,42.0,32.0,0.1,0.1,0.0,0.0,0.0
Tenerife,2025-12-28,15.8,9.2,12.5,32.0,23.0,0.0,0.0,0.0,0.0,0.0
Tenerife,2025-12-29,17.0,9.2,13.1,22.0,13.0,0.0,0.0,0.0,0.0,0.0
Tenerife,2025-12-30,17.4,9.3,13.3,18.0,14.0,0.0,0.0,0.0,0.0,0.0
Tenerife,2025-12-31,15.6,9.8,12.7,35.0,23.0,0.0,0.0,0.0,0.0,0.0
Tenerife,2026-01-01,15.4,10.8,13.1,28.0,20.0,4.1,0.0,0.0,4.1,0.0
Tenerife,2026-01-02,18.3,11.6,14.9,76.0,54.0,0.0,0.0,0.0,0.0,0.0
Valencia,2025-12-26,14.5,8.6,11.6,22.0,18.0,3.8,2.2,1.4,0.0,0.2
Valencia,2025-12-27,14.1,9.7,11.9,24.0,14.0,2.3,1.4,0.1,0.1,0.7
Valencia,2025-12-28,14.5,7.0,10.8,46.0,34.0,93.2,0.1,0.1,51.7,41.3
Valencia,2025-12-29,14.6,7.0,10.8,33.0,26.0,0.1,0.1,0.0,0.0,0.0
Valencia,2025-12-30,18.7,5.4,12.1,17.0,14.0,0.0,0.0,0.0,0.0,0.0
Valencia,2025-12-31,14.1,2.5,8.3,17.0,12.0,0.0,0.0,0.0,0.0,0.0
Valencia,2026-01-01,14.3,2.7,8.5,15.0,13.0,0.0,0.0,0.0,0.0,0.0
Valencia,2026-01-02,15.0,8.3,11.7,24.0,20.0,0.0,0.0,0.0,0.0,0.0
